Get API credentials, Get API credentials
Email Us,Email Us
Live Chat,Live Chat
Call or Visit Us,Call or Visit Us
S&amp;S tribeca,S&amp;S tribeca
You can't type over %s characters,You can't type over %s characters
You can't leave this empty.,You can't leave this empty.
Full name,Full name
Phone number,Phone number
Email address,Email address
Order number,Order number
Message,Message
Submit,Submit
What’s on your mind?,What’s on your mind?
You can't type over %s characters,You can't type over %s characters
Please enter type number.,Please enter type number.
You can't leave this empty.,You can't leave this empty.
You can't type over %s characters,You can't type over %s characters
"Email format is incorrect. Only these characters are allowed: letters, numbers, and some special characters '@', '.', '_'","Email format is incorrect. Only these characters are allowed: letters, numbers, and some special characters '@', '.', '_'"
Order not exist so we can't process your request right now.,Order not exist so we can't process your request right now.
Thanks for contacting us with your comments and questions. We'll respond to you very soon.,Thanks for contacting us with your comments and questions. We'll respond to you very soon.
"We can't process your request right now. Sorry, that's all we know.","We can't process your request right now. Sorry, that's all we know."
"Name: %name","Name: %name"
"Email: %email","Email: %email"
"Phone Number: %telephone","Phone Number: %telephone"
"Order Number: %orderNumber","Order Number: %orderNumber"
"Comment: %comment","Comment: %comment"
