"My Account", "My Account"
"Default Addresses", "Default Addresses"
"Default Shipping Address", "Default Shipping Address"
"Change Shipping Address", "Change Shipping Address"
"You have no default shipping address in your address book.", "You have no default shipping address in your address book."
"Default Billing Address", "Default Billing Address"
"Change Billing Address", "Change Billing Address"
"You have no default billing address in your address book.", "You have no default billing address in your address book."
"Additional Address Entries", "Additional Address Entries"
"You have no other address entries in your address book.", "You have no other address entries in your address book."
"Add New Address", "Add New Address"
"Back", "Back"
"Required Fields", "Required Fields"
"Contact Information", "Contact Information"
"Company", "Company"
"Phone Number", "Phone Number"
"Fax", "Fax"
"Address", "Address"
"Street Address", "Street Address"
"Street Address %1", "Street Address %1"
"VAT Number", "VAT Number"
"City", "City"
"State/Province", "State/Province"
"Please select a region, state or province.", "Please select a region, state or province."
"Zip/Postal Code", "Zip/Postal Code"
"Country", "Country"
"Use as my default billing address", "Use as my default billing address"
"Use as my default shipping address", "Use as my default shipping address"
"Save Address", "Save Address"
"Go back", "Go back"
"Address Book", "Address Book"
"Manage Addresses", "Manage Addresses"
"Edit Address", "Edit Address"
"Account Information", "Account Information"
"Contact Information", "Contact Information"
"Edit", "Edit"
"Change Password", "Change Password"
"Newsletters", "Newsletters"
You subscribe to "General Subscription"., You subscribe to "General Subscription".
You don\'t subscribe to our newsletter., You don\'t subscribe to our newsletter.
"Forgot Your Login Information?", "Forgot Your Login Information?"
"Email address", "Email address"
"reset", "reset"
"Cancel", "Cancel"
"Oh Hay Again! Sign In.", "Oh Hay Again! Sign In."
"Password", "Password"
"Forgot your password?", "Forgot your password?"
"Sign in", "Sign in"
"Confirm Password", "Confirm Password"
"Sign up", "Sign up"
"Sign up to receive Stone &amp; Strand emails. From Capri to Los Angeles, we’ll take you on adventures with amazing jewels in tow.", "Sign up to receive Stone &amp; Strand emails. From Capri to Los Angeles, we’ll take you on adventures with amazing jewels in tow."
"Privacy", "Privacy"
"questions", "questions"
"call", "call"
"mail to customer services", "mail to customer services"
"email customer services", "email customer services"
"Return / Exchange", "Return / Exchange"
"Welcome to my account", "Oh hi %1. This is your Stone & Strand account. Click on the sections below to manage your personal info, return a purchase, check the status of an order or see the balance on a gift card."
"Sign out", "Sign out"
"Your account", "Your account"
"Default Addresses", "Default Addresses"
"Default Shipping Address", "Shipping Address"
"Default Billing Address", "Billing Address"
"Security Edit Address", "For security reasons, please note we will remove any saved credit card details when you add or edit an address on your account"
"State", "State"
"Phone", "Phone"
"Only receive sale promotional related info","Only receive sale promotional related info"
"unsubscribe","unsubscribe"
"subscribe","subscribe"
"Get all the important stuff - new designer launches, Stone & Strand exclusives, and - of course - all of our promos and special shopping events.", "Get all the important stuff - new designer launches, Stone & Strand exclusives, and - of course - all of our promos and special shopping events."
"The latest from The Magazine, from designer profiles, jewelry styling tutorials, to our recommendations for what’s happening in arts & culture.","The latest from The Magazine, from designer profiles, jewelry styling tutorials, to our recommendations for what’s happening in arts & culture."
"ESSENTIAL","ESSENTIAL"
"EDITORIAL","EDITORIAL"
"Manage Your Subscriptions","Manage Your Subscriptions"
"There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account.","There is already an account with this email address. If you are sure that it is your email address, <a href='%1'>click here</a> to get your password and access your account."
"You must confirm your account. Please check your email for the confirmation link or <a href='%1'>click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href='%1'>click here</a> for a new link."
"Sign Up &amp; Start Loving.","Sign Up &amp; Start Loving."
"We can't save the customer.","We can't save the customer."
"You saved the account information.","You saved the account information."
"Invalid input","Invalid input"
"Please enter new password.","Please enter new password."
"Confirm your new password.","Confirm your new password."
"Success change password.","Success change password."
"Something went wrong while changing the password.","Something went wrong while changing the password."
"Email is not validate.","Email is not validate."
"Please enter new email.","Please enter new email."
"Confirm your new email.","Confirm your new email."
"Not like your email.","Not like your email."
"Success change email.","Success change email."
"Something went wrong while changing the email.","Something went wrong while changing the email."
"CONTACT US","CONTACT US"
"Call or Visit Us","Call or Visit Us"
"You can't leave this empty.","You can't leave this empty."
"This value is too long. It should have %s characters or fewer.","This value is too long. It should have %s characters or fewer."
"Email format is incorrect. Only these characters are allowed: letters, numbers, and some special characters '@', '.', '_'","Email format is incorrect. Only these characters are allowed: letters, numbers, and some special characters '@', '.', '_'"
"These email don't match. Try again?","These email don't match. Try again?"
"These passwords don't match. Try again?","These passwords don't match. Try again?"
"Zip code format is incorrect. Please enter 5 digits","Zip code format is incorrect. Please enter 5 digits"
