"Order Number","Order Number"
"Order Date","Order Date"
"Step 1","Step 1"
"Step 2","Step 2"
"Return Message Warning","Making a return couldn't be easier. Simply complete the options below and let us know why it wasn't right for you."
"New Return for Order %1","New Return for Order %1"
"Return Items Information","Return Items Information"
"Quantity Return","Quantity Return"
"Add Item To Return","Add Item To Return"
"Comments","Comments"
"Save","Save"
"Continue","Continue"
"Back to my order","Back to my order"
"You can't leave this empty.","You can't leave this empty."
"Quantity format is incorrect.","Quantity format is incorrect."
"Shop now","Shop now"
"We can't create a return right now. Please try again later.","We can't create a return right now. Please try again later."
"Create New Return","Create New Return"
"Return Success","Return Success"
"Item","Item"
"Description","Description"
"Material","Material"
"Size","Size"
"Unit Price","Unit Price"
"Gift Message","Gift Message"
"Close","Close"
"From","From"
"To","To"
"Product","Product"
"Ref.","Ref."
"Remove","Remove"
"Return items","Return items"
"Sub-items","Sub-items"
"Remaining Qty","Remaining Qty"
"Qty","Qty"
"Remaining Quantity","Remaining Quantity"
